DateTime,internal_txn_id,platform_txn_id,Venue,Transaction Type,Base Asset,Base Asset Amount,Quote Asset,Quote Asset Amount,Price Paid,Txn Fee Asset,Txn Fee Paid Quantity,Txn_Total,NOTES
2023-01-13T14:24:21.000Z,2025,3zHdi6VhfF5CqcL8NfCNZMDyEb3ihoaPdNNEKmVFJdhNbpeUxLKrdjCagyd4Z3sb7f1CHhGPyDTbA7zeHharrWaZ,ORCA,SELL,BONK,5427048969.210000000,USD,4974.31,0.00,SOL,,,1of2 Sell BONK for USDC
2023-01-13T14:24:21.000Z,2025,3zHdi6VhfF5CqcL8NfCNZMDyEb3ihoaPdNNEKmVFJdhNbpeUxLKrdjCagyd4Z3sb7f1CHhGPyDTbA7zeHharrWaZ,ORCA,BUY,USDC,4974.310000000,USD,4974.31,1.00,SOL,,,2of2 Sell BONK for USDC
2023-02-03T04:49:17.000Z,3003,,Coinbase,BUY,ETH,1.000000000,USD,1642.00,"1,642.00",USD,6.570,1648.57,"Bought 1.0000 ETH for $1,648.57 USD on ETH-USD"
2023-02-03T04:49:18.000Z,3003,,Coinbase,BUY,ETH,0.500000000,USD,821.00,"1,642.00",USD,3.280,824.28,Bought 0.5000 ETH for $824.28 USD on ETH-USD
2023-02-03T04:49:18.000Z,3003,,Coinbase,BUY,ETH,0.514900000,USD,845.47,"1,642.01",USD,3.380,848.85,Bought 0.5149 ETH for $848.85 USD on ETH-USD
2023-02-03T04:49:18.000Z,3003,,Coinbase,BUY,ETH,0.500000000,USD,821.00,"1,642.00",USD,3.280,824.28,Bought 0.5000 ETH for $824.28 USD on ETH-USD
2023-02-03T04:49:18.000Z,3003,,Coinbase,BUY,ETH,0.500000000,USD,821.00,"1,642.00",USD,3.280,824.28,Bought 0.5000 ETH for $824.28 USD on ETH-USD
2023-02-03T04:49:18.000Z,3003,,Coinbase,BUY,ETH,1.500000000,USD,2463.00,"1,642.00",USD,9.850,2472.85,"Bought 1.5000 ETH for $2,472.85 USD on ETH-USD"
2023-02-03T04:49:18.000Z,3003,,Coinbase,BUY,ETH,0.500000000,USD,821.00,"1,642.00",USD,3.280,824.28,Bought 0.5000 ETH for $824.28 USD on ETH-USD
2023-02-03T04:49:18.000Z,3003,,Coinbase,BUY,ETH,0.500000000,USD,821.00,"1,642.00",USD,3.280,824.28,Bought 0.5000 ETH for $824.28 USD on ETH-USD
2023-02-03T04:49:19.000Z,3003,,Coinbase,BUY,ETH,1.000000000,USD,1642.00,"1,642.00",USD,6.570,"1,648.57","Bought 1.0000 ETH for $1,648.57 USD on ETH-USD"
2023-02-03T04:49:19.000Z,3003,,Coinbase,BUY,ETH,0.500000000,USD,821.00,"1,642.00",USD,3.280,824.28,Bought 0.5000 ETH for $824.28 USD on ETH-USD
2023-02-03T04:49:19.000Z,3003,,Coinbase,BUY,ETH,0.985100000,USD,1617.53,"1,642.00",USD,6.470,1624.00,"Bought 0.9851 ETH for $1,624.00 USD on ETH-USD"
2023-02-03T07:38:17.000Z,3000,a6f89692-97a9-44b4-b62d-2ef96771036d,Coinbase,BUY,SOL,8.537000000,USD,207.02,24.25,USD,0.828,207.85,Bought 8.5370 SOL for $207.85 USD on SOL-USD
2023-02-03T08:06:24.000Z,3000,a6f89692-97a9-44b4-b62d-2ef96771036d,Coinbase,BUY,SOL,5.233000000,USD,126.90,24.25,USD,0.508,127.41,Bought 5.2330 SOL for $127.41 USD on SOL-USD
2023-02-03T08:07:05.000Z,3000,a6f89692-97a9-44b4-b62d-2ef96771036d,Coinbase,BUY,SOL,241.773000000,USD,5863.00,24.25,USD,23.450,5886.45,"Bought 241.7730 SOL for $5,886.45 USD on SOL-USD"
2023-02-03T08:07:05.000Z,3000,a6f89692-97a9-44b4-b62d-2ef96771036d,Coinbase,BUY,SOL,244.457000000,USD,5928.08,24.25,USD,23.710,5951.79,"Bought 244.4570 SOL for $5,951.79 USD on SOL-USD"
2023-02-13T16:36:37.000Z,3040,SOL: 5iZZNJ7MKHnaVtsXVaajiCLtTmcvVqFpT2Y9oSQXBFyGmpxKXrPRszbngTdFLVEcn4HZ5KnmiCfk7Mwcj8u4PDR3,ORCA,SELL (Token Swap),USDC,10000.000000000,USD,10000.00,1.00,,,,Sell USDC for SOL on Orca (1 of 2)
2023-02-13T16:36:37.000Z,3040,SOL: 5iZZNJ7MKHnaVtsXVaajiCLtTmcvVqFpT2Y9oSQXBFyGmpxKXrPRszbngTdFLVEcn4HZ5KnmiCfk7Mwcj8u4PDR3,ORCA,BUY (Token Swap),SOL,489.28,USD,10000.00,20.44,,,,Sell USDC for SOL on Orca (2 of 2)
2023-02-13T16:38:43.000Z,3041,SOL: 2pY8dSMADTLxbN15QStJM9RZVEjSPLpAWymFrauBB2CAkCiLanL5w9VYFYhbvfJttADFCKwZx1kcnwLyWJxPFTMZ,ORCA,SELL (Token Swap),USDC,10000.00,USD,10000.00,1.00,,,,Sell USDC for SOL on Orca (1 of 2)
2023-02-13T16:38:43.000Z,3041,SOL: 2pY8dSMADTLxbN15QStJM9RZVEjSPLpAWymFrauBB2CAkCiLanL5w9VYFYhbvfJttADFCKwZx1kcnwLyWJxPFTMZ,ORCA,BUY (Token Swap),SOL,491.25,USD,10000.00,20.36,,,,Sell USDC for SOL on Orca (2 of 2)
